collected_at,hpid,dutyName,hvidate,hvec,hv2,hv3,hvoc,hvncc,hvgc,hvctayn,hvmriayn,hvangioayn,hvventiayn,hvamyn,hvs01
2026-09-20 02:50:29,A1100007,연세대학교의과대학세브란스병원,20260920024537,1,14,9,1,19,563,Y,Y,Y,Y,Y,39
2026-09-20 02:50:29,A1100012,학교법인가톨릭학원가톨릭대학교서울성모병원,20260920024511,7,9,13,32,11,269,Y,Y,Y,Y,Y,28
2026-09-20 02:50:29,A1100009,재단법인아산사회복지재단서울아산병원,20260920024315,4,2,12,4,18,400,Y,Y,Y,Y,Y,36
2026-09-20 02:50:29,A1100011,가톨릭대학교여의도성모병원,20260920024510,12,1,1,13,,72,Y,Y,Y,Y,Y,15
2026-09-20 02:50:29,A1100055,한림대학교강남성심병원,20260920024542,16,1,5,14,0,207,Y,Y,Y,Y,Y,20
2026-09-20 02:50:29,A1100054,성애의료재단성애병원,20260920024407,12,,,5,4,77,Y,Y,Y,Y,Y,15
2026-09-20 02:50:29,A1100004,순천향대학교부속서울병원,20260920024521,15,,,14,0,197,Y,Y,Y,Y,Y,20
2026-09-20 02:50:29,A1121013,가톨릭대학교은평성모병원,20260920024510,3,0,0,19,6,300,Y,Y,Y,Y,Y,24
2026-09-20 02:50:29,A1100006,강북삼성병원,20260920024531,9,,2,16,1,182,Y,Y,Y,Y,Y,15
2026-09-20 02:50:29,A1100052,국립중앙의료원,20260920024304,8,,0,7,,0,Y,Y,Y,Y,Y,15
2026-09-20 02:50:29,A1100036,부민병원,20260920024115,10,,,8,,58,Y,Y,Y,Y,Y,10
2026-09-20 02:50:29,A1100051,혜민병원,20260920024139,9,,,5,,21,Y,Y,N1,Y,Y,9
2026-09-20 02:50:29,A1100026,구로성심병원,20260920024352,9,,,3,,32,Y,Y,N1,Y,Y,9
2026-09-20 02:50:29,A1100049,희명병원,20260920024327,9,,,4,,121,Y,Y,N1,Y,Y,10
2026-09-20 02:50:29,A1100027,한국원자력의학원원자력병원,20260920024415,9,,,10,,269,Y,Y,Y,Y,Y,9
2026-09-20 02:50:29,A1100022,서울특별시동부병원,20260920024520,8,,,3,,39,Y,Y,N1,Y,Y,8
2026-09-20 02:50:29,A1100050,서울성심병원,20260920024306,16,,,6,,81,Y,Y,N1,Y,Y,17
2026-09-20 02:50:29,A1100025,의료법인동신의료재단동신병원,20260920024411,7,,,3,,52,Y,Y,N1,Y,Y,9
2026-09-20 02:50:29,A1122033,기쁨병원,20260920024535,3,,,8,,56,Y,Y,Y,Y,Y,4
2026-09-20 02:50:29,A1100039,경찰병원,20260920024503,3,,,7,,141,Y,Y,N1,Y,Y,3
2026-09-20 02:50:29,A1100019,홍익병원,20260920024322,3,,,4,,74,Y,Y,Y,Y,Y,9
2026-09-20 02:50:29,A1100223,서울특별시서남병원,20260920024000,17,,,4,,55,Y,Y,N1,Y,Y,17
2026-09-20 02:50:29,A1100024,명지성모병원,20260920024624,8,,,3,,115,Y,Y,Y,Y,Y,8
2026-09-20 02:50:29,A1100037,대림성모병원,20260920024139,8,,,4,,46,Y,Y,N1,Y,Y,8
2026-09-20 02:50:29,A1100045,씨엠병원,20260920023000,9,,,5,,39,Y,Y,N1,Y,Y,9
2026-09-20 02:50:29,A1100023,의료법인청구성심병원,20260920024402,8,,,3,,31,Y,Y,N1,Y,Y,10
2026-09-20 02:50:29,A1100029,서울적십자병원,20260920024528,8,,,6,,104,Y,Y,N1,Y,Y,10
2026-09-20 02:50:29,A1100032,세란병원,20260920024423,10,,,13,,47,Y,Y,N1,Y,Y,10
2026-09-20 02:50:29,A1100075,의료법인풍산의료재단동부제일병원,20260920024051,7,,,2,,57,Y,N,N1,Y,Y,7
2026-09-20 02:50:29,A1100044,녹색병원,20260920024507,2,,,3,,92,Y,Y,N1,Y,Y,5
2026-09-20 05:15:27,A1100043,강동경희대학교병원,20260920051020,11,,,17,3,218,Y,Y,Y,Y,Y,15
2026-09-20 05:15:27,A1100014,고려대학교의과대학부속구로병원,20260920050931,21,1,2,24,-1,167,Y,Y,Y,Y,Y,29
2026-09-20 05:15:27,A1100013,한양대학교병원,20260920050826,15,2,,16,-2,245,Y,Y,Y,Y,Y,20
2026-09-20 05:15:27,A1100008,학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),20260920050837,18,1,6,25,-1,243,Y,Y,Y,Y,Y,30
2026-09-20 05:15:27,A1100005,이화여자대학교의과대학부속목동병원,20260920050542,16,1,5,13,15,128,Y,Y,Y,Y,Y,19
2026-09-20 05:15:27,A1100017,서울대학교병원,20260920051027,0,1,7,53,10,338,Y,Y,Y,Y,Y,24
2026-09-20 05:15:27,A1100035,서울특별시서울의료원,20260920051000,11,1,,10,2,133,Y,Y,Y,Y,Y,19
2026-09-20 05:15:27,A1100015,연세대학교의과대학강남세브란스병원,20260920050924,11,,,23,1,233,Y,Y,Y,Y,Y,21
2026-09-20 05:15:27,A1100010,삼성서울병원,20260920050851,6,6,12,45,3,396,Y,Y,Y,Y,Y,52
2026-09-20 05:15:27,A1100028,성심의료재단강동성심병원,20260920051020,14,0,,13,3,188,Y,Y,Y,Y,Y,15
2026-09-20 05:15:27,A1100053,한국보훈복지의료공단 중앙보훈병원,20260920050553,19,3,10,13,,182,Y,Y,Y,Y,Y,22
2026-09-20 05:15:27,A1120796,이화여자대학교의과대학부속서울병원,20260920050553,10,1,7,18,3,207,Y,Y,Y,Y,Y,14
2026-09-20 05:15:27,A1100041,의료법인서울효천의료재단에이치플러스양지병원,20260920051015,12,,,7,,58,Y,Y,Y,Y,Y,18
2026-09-20 05:15:27,A1100002,건국대학교병원,20260920050812,10,8,7,21,-2,241,Y,Y,Y,Y,Y,20
2026-09-20 05:15:27,A1100016,인제대학교상계백병원,20260920050704,8,0,2,13,0,102,Y,Y,Y,Y,Y,16
2026-09-20 05:15:27,A1100048,노원을지대학교병원,20260920050602,16,1,7,11,6,253,Y,Y,Y,Y,Y,17
2026-09-20 05:15:27,A1100020,의료법인한전의료재단 한일병원,20260920051003,16,,,8,,102,Y,Y,Y,Y,Y,21
2026-09-20 05:15:27,A1100001,경희대학교병원,20260920050919,11,,,16,3,242,Y,Y,Y,Y,Y,15
2026-09-20 05:15:27,A1100021,삼육서울병원,20260920050948,11,,,5,4,79,Y,Y,Y,Y,Y,13
2026-09-20 05:15:27,A1100040,서울특별시보라매병원,20260920051000,17,5,10,14,2,261,Y,Y,Y,Y,Y,31
2026-09-20 05:15:27,A1100003,중앙대학교병원,20260920051009,13,0,0,16,0,212,Y,Y,Y,Y,Y,22
2026-09-20 05:15:27,A1100007,연세대학교의과대학세브란스병원,20260920050544,1,14,9,2,19,565,Y,Y,Y,Y,Y,39
2026-09-20 05:15:27,A1100012,학교법인가톨릭학원가톨릭대학교서울성모병원,20260920051016,6,8,13,32,11,268,Y,Y,Y,Y,Y,28
2026-09-20 05:15:27,A1100009,재단법인아산사회복지재단서울아산병원,20260920051015,10,2,11,4,18,396,Y,Y,Y,Y,Y,36
2026-09-20 05:15:27,A1100011,가톨릭대학교여의도성모병원,20260920051015,11,1,1,13,,72,Y,Y,Y,Y,Y,15
2026-09-20 05:15:27,A1100055,한림대학교강남성심병원,20260920051042,17,1,5,14,0,206,Y,Y,Y,Y,Y,20
2026-09-20 05:15:27,A1100054,성애의료재단성애병원,20260920050807,12,,,5,4,77,Y,Y,Y,Y,Y,15
2026-09-20 05:15:27,A1100004,순천향대학교부속서울병원,20260920050922,17,,,14,0,194,Y,Y,Y,Y,Y,20
2026-09-20 05:15:27,A1121013,가톨릭대학교은평성모병원,20260920051016,11,0,0,19,6,298,Y,Y,Y,Y,Y,24
2026-09-20 05:15:27,A1100006,강북삼성병원,20260920051027,6,,2,16,1,182,Y,Y,Y,Y,Y,15
2026-09-20 05:15:27,A1100052,국립중앙의료원,20260920051005,8,,0,7,,0,Y,Y,Y,Y,Y,15
2026-09-20 05:15:27,A1100036,부민병원,20260920051034,10,,,8,,58,Y,Y,Y,Y,Y,10
2026-09-20 05:15:27,A1100051,혜민병원,20260920050654,9,,,5,,20,Y,Y,N1,Y,Y,9
2026-09-20 05:15:27,A1100026,구로성심병원,20260920050919,5,,,3,,32,Y,Y,N1,Y,Y,9
2026-09-20 05:15:27,A1100049,희명병원,20260920050905,10,,,4,,121,Y,Y,N1,Y,Y,10
2026-09-20 05:15:27,A1100027,한국원자력의학원원자력병원,20260920050915,9,,,10,,267,Y,Y,Y,Y,Y,9
2026-09-20 05:15:27,A1100022,서울특별시동부병원,20260920051020,8,,,3,,38,Y,Y,N1,Y,Y,8
2026-09-20 05:15:27,A1100050,서울성심병원,20260920050849,16,,,6,,81,Y,Y,N1,Y,Y,17
2026-09-20 05:15:27,A1100025,의료법인동신의료재단동신병원,20260920050818,5,,,3,,52,Y,Y,N1,Y,Y,9
2026-09-20 05:15:27,A1122033,기쁨병원,20260920051017,3,,,8,,56,Y,Y,Y,Y,Y,4
2026-09-20 05:15:27,A1100039,경찰병원,20260920051003,3,,,7,,141,Y,Y,N1,Y,Y,3
2026-09-20 05:15:27,A1100019,홍익병원,20260920050746,6,,,4,,73,Y,Y,Y,Y,Y,9
2026-09-20 05:15:27,A1100223,서울특별시서남병원,20260920051000,16,,,4,,55,Y,Y,N1,Y,Y,17
2026-09-20 05:15:27,A1100024,명지성모병원,20260920051041,8,,,3,,114,Y,Y,Y,Y,Y,8
2026-09-20 05:15:27,A1100037,대림성모병원,20260920050654,8,,,4,,46,Y,Y,N1,Y,Y,8
2026-09-20 05:15:27,A1100045,씨엠병원,20260920050040,9,,,5,,40,Y,Y,N1,Y,Y,9
2026-09-20 05:15:27,A1100023,의료법인청구성심병원,20260920050801,10,,,3,,31,Y,Y,N1,Y,Y,10
2026-09-20 05:15:27,A1100029,서울적십자병원,20260920050837,8,,,6,,104,Y,Y,N1,Y,Y,10
2026-09-20 05:15:27,A1100032,세란병원,20260920050826,10,,,13,,47,Y,Y,N1,Y,Y,10
2026-09-20 05:15:27,A1100075,의료법인풍산의료재단동부제일병원,20260920050508,7,,,2,,57,Y,N,N1,Y,Y,7
2026-09-20 05:15:27,A1100044,녹색병원,20260920051005,5,,,3,,92,Y,Y,N1,Y,Y,5
